Country,PIN,Community,State,State_ID,District,District_ID,City,Lat,Lng,Loc_accuracy,District_1
IN,627412,Alwarkurichi,Tamil Nadu,25,Tirunelveli,628,Ambasamudram,8.9974,77.641,1,Tirunelveli
IN,600087,Alwarthirunagar,Tamil Nadu,25,Thiruvallur,602,NA,13.0439,80.1725,3,Tiruvallur
IN,628612,Alwarthope West,Tamil Nadu,25,Thoothukkudi,627,Tiruchendur,8.5957,77.959,3,Tuticorin
IN,628612,Alwartirunagari,Tamil Nadu,25,Thoothukkudi,627,Tiruchendur,8.5957,77.959,3,Tuticorin
IN,628612,Alwartirunagari West,Tamil Nadu,25,Thoothukkudi,627,Tiruchendur,8.5957,77.959,3,Tuticorin
IN,453111,Alwasa,Madhya Pradesh,35,Indore,439,Depalpur,22.8244,75.8319,4,Jabalpur
IN,421601,Alyani,Maharashtra,16,Thane,517,Shahapur,19.2463,73.5187,3,Thane
IN,311025,Ama,Rajasthan,24,Bhilwara,122,Bhilwara,25.3251,74.556,3,Bhilwara
IN,488448,Ama,Madhya Pradesh,35,Panna,426,Pawai,24.0168,80.3326,4,Panna
IN,485447,Ama,Madhya Pradesh,35,Satna,429,Nagod,24.6645,80.4839,4,Satna
IN,204215,Ama Madapur,Uttar Pradesh,36,Aligarh,143,Aligarh,27.8763,78.3491,3,Aligarh
IN,688561,Amabalapuzha East  B O,Kerala,13,Alappuzha,598,Ambalappuzha,9.3846,76.3551,3,Alappuzha
IN,759126,Amabapal,Odisha,21,Angul,,Athamallik,20.8147,84.5703,3,Angul
IN,494230,Amabeda,Chattisgarh,37,Bastar,414,Keshkal,20.046,81.4237,3,Bastar
IN,695572,Amachal,Kerala,13,Thiruvananthapuram,601,Neyyattinkara,8.5042,77.0803,3,Thiruvananthapuram
IN,571127,Amachavadi,Karnataka,19,Chamrajnagar,578,Chamarajanagara,11.8516,76.9294,3,Chamrajnagar
IN,487881,Amada,Madhya Pradesh,35,Narsinghpur,452,NA,22.8399,79.1979,3,Narsinghpur
IN,509381,Amadabakula,Telangana,40,Mahabub Nagar,538,Kothakota,17.1796,78.7719,3,Mahabub Nagar
IN,424105,Amadade,Maharashtra,16,Jalgaon,499,Bhadgaon,20.7124,75.125,3,Jalgaon
IN,518467,Amadaguntla,Andhra Pradesh,2,Kurnool,552,Kurnool,15.6998,77.8692,4,Kurnool
IN,515556,Amadagur,Andhra Pradesh,2,Anantapur,553,Amadagur,13.9366,78.0425,3,Ananthapur
IN,532185,Amadalavalasa H.O,Andhra Pradesh,2,Srikakulam,542,Amadalavalasa,18.4049,83.908,1,Srikakulam
IN,135101,Amadalpur,Haryana,10,Yamuna Nagar,71,Ambala,30.1371,77.367,4,Yamuna Nagar
IN,484447,Amadand,Madhya Pradesh,35,Anuppur,461,Anuppur,22.9688,81.9061,4,Anuppur
IN,495119,Amadand,Chattisgarh,37,Bilaspur,406,Pendra,22.7327,82.0466,4,Bilaspur (HP)
IN,485773,Amadara,Madhya Pradesh,35,Satna,429,NA,24.1282,80.4122,3,Satna
IN,224181,Amadarveshpur,Uttar Pradesh,36,Ambedkar Nagar,178,Alapur,26.2673,82.7539,3,Ambedkar Nagar
