SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
IBUCCREDIT,N7,980,980,980,980,980,980,23,22540,24-Nov-22,2,INE244L07127
IBULHSGFIN,EQ,125.55,126,124.3,125.3,125,124.95,5662556,708922073,24-Nov-22,33432,INE148I01020
IBULHSGFIN,NA,912,925,912,920,920,912,179,164543,24-Nov-22,8,INE148I07GL3
IBULHSGFIN,NE,910,910,910,910,910,901.9,187,170170,24-Nov-22,6,INE148I08256
IBULHSGFIN,NN,980,980,973.06,973.06,973.06,980,44,42918.53,24-Nov-22,6,INE148I07KH3
IBULHSGFIN,NQ,990,990,990,990,990,932.15,15,14850,24-Nov-22,2,INE148I07KL5
IBULHSGFIN,NY,1030,1030,1030,1030,1030,1033,180,185400,24-Nov-22,1,INE148I07KR2
IBULHSGFIN,Y6,981,1010.5,981,1010.5,1010.5,981,104,102142,24-Nov-22,3,INE148I07KY8
IBULHSGFIN,YR,969.25,969.25,969.25,969.25,969.25,969.25,1,969.25,24-Nov-22,1,INE148I07LT6
IBULHSGFIN,YV,953,955.3,950.05,955.08,955,970,58,55238.25,24-Nov-22,7,INE148I07LW0
IBULHSGFIN,YZ,990,990,990,990,990,990,1,990,24-Nov-22,1,INE148I07MH9
IBULHSGFIN,Z2,975,975,975,975,975,975,10,9750,24-Nov-22,1,INE148I07MB2
IBULHSGFIN,Z7,830,830,825,825,825,806,40,33125,24-Nov-22,2,INE148I07ME6
IBULHSGFIN,ZB,969,969,969,969,969,901.1,10,9690,24-Nov-22,2,INE148I07MN7
IBULHSGFIN,ZD,907,907,907,907,907,907,25,22675,24-Nov-22,2,INE148I07MO5
ICDSLTD,BE,34,34.5,32.5,33.1,33.5,33.3,707,23735.9,24-Nov-22,19,INE613B01010
ICEMAKE,BE,282.6,286.7,269.9,272.05,276.35,282.6,20314,5589086.45,24-Nov-22,620,INE520Y01019
ICICI500,EQ,25.99,26.13,25.5,25.82,25.8,25.99,66105,1709657.28,24-Nov-22,364,INF109KC1V59
ICICI5GSEC,EQ,50.9,51.5,50.3,50.41,50.41,50.48,1121,57227.2,24-Nov-22,26,INF109KC14A8
ICICIALPLV,EQ,176.95,176.95,161.01,176.16,176.4,174.67,32763,5763048.72,24-Nov-22,350,INF109KC1N59
ICICIAUTO,EQ,128.9,129.19,128.21,128.79,128.8,128.48,517639,66712001.86,24-Nov-22,172,INF109KC1Y49
ICICIB22,EQ,56.84,56.84,55.69,56.28,56.8,55.8,2685012,149982774.1,24-Nov-22,1264,INF109KB15Y7
ICICIBANK,EQ,923.75,926.5,920.4,923.7,922.65,921.4,11256509,10402963206,24-Nov-22,173058,INE090A01021
ICICIBANKN,EQ,42.02,42.71,42.02,42.61,42.71,42.43,51582,2194639.95,24-Nov-22,252,INF109KC15I8
ICICIBANKP,EQ,213.61,213.9,213.15,213.38,213.42,213.3,1693,361608.51,24-Nov-22,90,INF109KC1E35
ICICICONSU,EQ,80.22,80.22,77.61,77.98,78,77.89,866,67532.91,24-Nov-22,29,INF109KC1V42
ICICIFMCG,EQ,445.01,448.43,445,447.16,448.4,446.78,3901,1743817.99,24-Nov-22,106,INF109KC1R48
ICICIGI,EQ,1127.75,1134,1124.5,1128.65,1132.1,1127.75,341523,385633351.9,24-Nov-22,29250,INE765G01017
ICICIGOLD,EQ,45.86,46.29,45.86,46.19,46.19,46.01,79681,3678836.92,24-Nov-22,3172,INF109KC1NT3
ICICIINFRA,EQ,54.5,54.5,53.3,53.74,53.74,53.59,454,24383.4,24-Nov-22,26,INF109KC16E5
ICICILIQ,EQ,1000.01,1000.01,999.75,1000,1000,999.99,131313,131312960.6,24-Nov-22,147,INF109KC1KT9
ICICILOVOL,EQ,161.2,161.2,134.1,142.87,142.63,142.62,46696,6677480.83,24-Nov-22,599,INF109KB10T8
ICICIM150,EQ,120.44,120.45,119.56,120.09,120.14,119.55,12202,1464175.04,24-Nov-22,407,INF109KC1G82
ICICIMCAP,EQ,101.1,102.69,101,102.26,102.69,101.5,5687,579912.15,24-Nov-22,238,INF109KB1XT3
ICICIMOM30,EQ,20.08,20.18,19.9,20.17,20.1,19.91,423954,8516649.57,24-Nov-22,83,INF109KC17C7
ICICINF100,EQ,199.5,201.49,198.51,200.81,201.49,200.34,5799,1164521.34,24-Nov-22,537,INF109KA1962
ICICINIFTY,EQ,209,209,196.92,198.14,198.2,197.13,53875,10661846.86,24-Nov-22,3894,INF109K012R6
ICICINV20,EQ,111.2,111.2,98.11,99.53,99.31,98.81,17021,1690224.95,24-Nov-22,651,INF109KB1WY5
ICICINXT50,EQ,44.19,44.19,43.34,43.86,43.94,43.73,63048,2760427.69,24-Nov-22,804,INF109KC1NS5
ICICIPHARM,EQ,82.5,82.5,81.74,82.19,82.39,82.09,9257,758483.45,24-Nov-22,102,INF109KC1Q72
ICICIPRULI,EQ,464.9,468.7,459,467.35,468.25,465.3,1083032,503382822.5,24-Nov-22,26021,INE726G01019
ICICISENSX,EQ,675.89,676.99,673.6,674.96,674.06,672.07,791,534509.41,24-Nov-22,110,INF346A01034
ICICISILVE,EQ,62.99,63.49,62.8,63.04,63.1,62.26,227521,14327140.97,24-Nov-22,891,INF109KC1Y56
ICICITECH,EQ,30.44,30.59,30.21,30.55,30.52,30.27,2495886,76069776.03,24-Nov-22,752,INF109KC16I6
ICIL,EQ,132.4,133.85,130.2,132.55,133.2,132.2,177435,23392507.1,24-Nov-22,2894,INE483B01026
ICRA,EQ,4140,4355,4101.55,4235.9,4308,4140.1,16083,67621858.15,24-Nov-22,1874,INE725G01011
IDBI,EQ,50.25,51,48.75,49.1,49.05,49.85,15103942,751050443.4,24-Nov-22,25338,INE008A01015
IDBIGOLD,EQ,4814.95,4814.95,4785.1,4795.2,4809.8,4796.15,151,724196.2,24-Nov-22,16,INF397L01554
IDEA,EQ,8.45,8.5,8.3,8.35,8.35,8.4,57836622,485332102.9,24-Nov-22,102970,INE669E01016
IDFC,EQ,77.4,79.5,77.3,78.95,79.4,77.4,4247492,332550453,24-Nov-22,20269,INE043D01016
IDFCFIRSTB,EQ,56.35,56.95,56.05,56.8,56.75,56.35,16197800,917106884.5,24-Nov-22,28894,INE092T01019
IDFNIFTYET,EQ,192.3,193.98,192.25,193.32,193.32,192.46,106,20511.6,24-Nov-22,11,INF194KA1U07
IEX,EQ,146.2,146.2,140.95,141.65,141.75,145.25,7227652,1030806600,24-Nov-22,44988,INE022Q01020
IFBAGRO,EQ,561.7,569.7,558.05,558.8,558.55,561.3,3744,2112791.5,24-Nov-22,375,INE076C01018
IFBIND,EQ,1021,1129.95,986.15,1027.55,1004,1031.5,665661,720543716.5,24-Nov-22,37003,INE559A01017
IFCI,EQ,12.7,13.1,12.5,12.65,12.6,12.65,14169621,181037712.6,24-Nov-22,11086,INE039A01010
IFCI,NH,1020,1020,1020,1020,1020,1020,109,111180,24-Nov-22,4,INE039A07801
IFCI,NL,1080,1080,1080,1080,1080,1070.2,50,54000,24-Nov-22,2,INE039A07843
IFGLEXPOR,EQ,260.45,264,258.55,262.9,264,260,7071,1850912.5,24-Nov-22,292,INE133Y01011
IGARASHI,EQ,433,433,424.75,426.7,428,427.3,10406,4442759.35,24-Nov-22,852,INE188B01013
IGL,EQ,422,430,406.5,414.85,414.05,420.9,2930887,1215480838,24-Nov-22,37590,INE203G01027
IGPL,EQ,534.55,534.55,523,527.75,530.25,530.35,22113,11651195.05,24-Nov-22,2181,INE204A01010
IIFCL,N4,1371,1372.25,1371,1372.25,1372.25,1369,8766,12025269.5,24-Nov-22,13,INE787H07370
IIFL,EQ,451.3,465,443,461.9,464.9,449.5,1125959,513304203.2,24-Nov-22,31138,INE530B01024
IIFL,N6,1080,1080,1001.66,1030,1030,1040,202,205577.7,24-Nov-22,15,INE866I08279
IIFL,NC,1019.9,1033,980.1,1000.01,1000,1006.98,537,535887.29,24-Nov-22,26,INE866I08303
IIFL,NE,1064.7,1069,1045,1046.64,1050,1050,2885,3042140,24-Nov-22,21,INE530B08094
IIFL,NF,1004.5,1005,1000,1003,1003,1002.23,1095,1098263.88,24-Nov-22,18,INE530B08102
IIFL,NG,1061.6,1061.6,1059.01,1059.01,1059.01,1060,258,273636.5,24-Nov-22,4,INE530B08110
IIFL,NH,1005.75,1005.75,1004,1004,1004,1004.9,51,51205.75,24-Nov-22,2,INE530B07120
IIFL,NI,1078.2,1081.5,1078.2,1080.4,1081.5,1078.2,30,32412,24-Nov-22,2,INE530B07138
IIFL,NL,982,982,978.2,978.8,978.8,981.17,206,201750,24-Nov-22,4,INE530B07161
IIFL,NM,1004,1004,1004,1004,1004,960.05,1,1004,24-Nov-22,1,INE530B07179
IIFL,NN,1084.9,1084.9,1084.9,1084.9,1084.9,1064.9,3,3254.7,24-Nov-22,3,INE530B07187
IIFLSEC,EQ,67.7,68.25,67.2,67.5,67.35,67.85,202704,13721611.35,24-Nov-22,2377,INE489L01022
IIFLWAM,EQ,1769.25,1785.75,1766,1773.05,1776,1773.1,2130,3781987.6,24-Nov-22,764,INE466L01020
IIHFL,N4,1007,1013,1006,1013,1013,1006,260,261827.5,24-Nov-22,10,INE477L08147
IIHFL,N5,999,1002.4,994.1,1002,1002,1002.42,1383,1381943.2,24-Nov-22,26,INE477L08154
IIHFL,N6,1056.5,1056.5,1046.6,1047.5,1047.5,1095,180,188641.29,24-Nov-22,14,INE477L08162
IIHFL,N7,1012.85,1012.85,1010,1010,1010,1010,100,101012.85,24-Nov-22,3,INE477L07AL3
IIHFL,N9,960,960,960,960,960,959.8,73,70080,24-Nov-22,3,INE477L07AN9
IIHFL,NC,950,951,915.1,940,940,956,1000,941505,24-Nov-22,15,INE477L07AQ2
IITL,EQ,80.15,82.95,80,81,81,80.85,4011,326397.25,24-Nov-22,152,INE886A01014
IL&FSENGG,BZ,13.05,14.2,13.05,14,14.1,13.55,43729,606713.55,24-Nov-22,93,INE369I01014
IL&FSTRANS,BZ,4,4.05,3.8,4.05,4.05,3.9,37769,149736.3,24-Nov-22,62,INE975G01012
IMAGICAA,BE,32.45,32.45,30.8,31.6,31.75,32.1,175697,5504437,24-Nov-22,384,INE172N01012
IMFA,EQ,235.85,236.9,233.1,234.35,235,236,20687,4872816.9,24-Nov-22,924,INE919H01018
IMPAL,EQ,743.95,745.2,733.3,738.1,741,740.35,712,526654.65,24-Nov-22,140,INE547E01014
IMPEXFERRO,BE,4.45,4.7,4.4,4.4,4.4,4.6,71146,314124.05,24-Nov-22,242,INE691G01015
INCREDFIN,N2,1020,1070,901,1064.45,1063,1063,348,367604,24-Nov-22,21,INE945W07399
INCREDIBLE,EQ,23.8,23.8,22.2,23,23,23.4,7373,169104.2,24-Nov-22,86,INE452L01012
INDBANK,EQ,26,26.4,25.5,25.75,25.5,25.7,530836,13813673.05,24-Nov-22,2041,INE841B01017
INDHOTEL,EQ,317.95,320.3,314.3,318.3,318.55,316.5,4820283,1529305458,24-Nov-22,49171,INE053A01029
INDIACEM,EQ,233.5,240.15,233.35,238.3,238.9,233.35,3751249,891392102.4,24-Nov-22,24805,INE383A01012
INDIAGLYCO,EQ,787.7,787.7,759.95,763.55,766.5,783.85,25861,19967070.6,24-Nov-22,2692,INE560A01015
INDIAMART,EQ,4418,4459,4370,4383.65,4371,4404.7,40226,177145818,24-Nov-22,5546,INE933S01016
INDIANB,EQ,269.3,275,267.5,274.65,274,268.6,1915644,522872402.7,24-Nov-22,21171,INE562A01011
INDIANCARD,EQ,209.9,209.9,204,206,205.8,207.15,4368,900942.45,24-Nov-22,420,INE061A01014
INDIANHUME,EQ,157.5,157.6,154.5,155,155,156.35,9793,1523550.2,24-Nov-22,362,INE323C01030
INDIGO,EQ,1801.35,1829.3,1788.95,1818.95,1818,1792.45,612018,1111889918,24-Nov-22,45216,INE646L01027
INDIGOPNTS,EQ,1339,1348.8,1324.05,1328.7,1329,1342.7,36968,49210751.75,24-Nov-22,6269,INE09VQ01012
INDIGRID,IV,138.2,139.24,136.86,137.14,137.95,137.6,401206,55445854.58,24-Nov-22,1412,INE219X23014
INDIGRID,NJ,1043.1,1043.1,1040.01,1040.75,1040.75,1043.1,255,265583.7,24-Nov-22,6,INE219X07264
INDIGRID,NL,1015,1015,1015,1015,1015,1013.05,60,60900,24-Nov-22,4,INE219X07280
INDLMETER,BZ,7.1,7.4,7.1,7.35,7.35,7.35,1564,11554.9,24-Nov-22,7,INE065B01013
INDNIPPON,EQ,414.1,418.9,411.3,413.45,415,413.95,2994,1239994.5,24-Nov-22,240,INE092B01025
INDOAMIN,EQ,113.75,113.75,107.85,108.85,109.1,110.1,69106,7532946.85,24-Nov-22,2039,INE760F01028
INDOBORAX,EQ,145.5,150,142.05,148.85,149.2,144.35,113747,16839240.25,24-Nov-22,2972,INE803D01021
INDOCO,EQ,380,385.9,371.2,376,375,376.45,184590,69938925.65,24-Nov-22,6787,INE873D01024
